image,output,flag,username,timestamp
C:\Users\azima\Desktop\self-learn\ml-1\computer vision\hugging face\yolo\v5\flagged\image\tmpfy5xf920.png,C:\Users\azima\Desktop\self-learn\ml-1\computer vision\hugging face\yolo\v5\flagged\output\tmpw8q0_2j8.png,,,2022-09-19 11:31:34.149767
C:\Users\azima\Desktop\self-learn\ml-1\computer vision\hugging face\yolo\v5\flagged\image\tmpbkujhvuw.png,C:\Users\azima\Desktop\self-learn\ml-1\computer vision\hugging face\yolo\v5\flagged\output\tmpfecsnk83.png,,,2022-09-19 11:31:37.106667
